customer_id,risk_score,risk_bucket,util_ratio_snap,pay_to_bal_snap,delinq_trend_snap,created_at
CUST10006,23.23,LOW_RISK,0.094,0.6347,0.0402,2025-01-02 00:00:00
CUST10006,23.08,LOW_RISK,0.1405,0.7244,0.1753,2025-02-02 00:00:00
CUST10006,16.34,LOW_RISK,0.1171,0.6791,0.0548,2025-03-05 00:00:00
CUST10007,4.9,LOW_RISK,0.0411,0.9787,0.0533,2024-10-01 00:00:00
CUST10007,8.15,LOW_RISK,0.0863,0.9962,0.147,2024-11-16 00:00:00
CUST10007,8.73,LOW_RISK,0.0475,1.0,0.1129,2025-01-02 00:00:00
CUST10007,3.78,LOW_RISK,0.0563,0.9838,0.1246,2025-02-17 00:00:00
CUST10008,99.0,VERY_CRITICAL,0.4185,0.4391,0.291,2024-10-01 00:00:00
CUST10008,99.0,VERY_CRITICAL,0.4284,0.4691,0.2344,2024-12-02 00:00:00
CUST10008,97.33,VERY_CRITICAL,0.4352,0.4243,0.1678,2025-02-02 00:00:00
CUST10009,37.81,HIGH_RISK,0.5824,0.9492,0.0578,2024-10-01 00:00:00
CUST10009,37.27,HIGH_RISK,0.5605,0.9529,-0.0063,2024-11-01 00:00:00
CUST10009,33.15,HIGH_RISK,0.5906,0.9468,-0.0146,2024-12-02 00:00:00
CUST10009,37.89,HIGH_RISK,0.5481,0.9234,-0.0232,2025-01-02 00:00:00
CUST10009,35.38,HIGH_RISK,0.5832,0.9606,0.0159,2025-02-02 00:00:00
CUST10009,31.94,HIGH_RISK,0.5398,0.8972,-0.0608,2025-03-05 00:00:00
CUST10010,17.72,LOW_RISK,0.4447,0.4882,-0.1954,2024-10-01 00:00:00
CUST10010,17.42,LOW_RISK,0.4799,0.5219,-0.1962,2024-11-16 00:00:00
CUST10010,19.0,LOW_RISK,0.509,0.4793,-0.2361,2025-01-02 00:00:00
CUST10010,20.69,LOW_RISK,0.4797,0.5385,-0.2601,2025-02-17 00:00:00
CUST10011,40.95,HIGH_RISK,0.4187,0.5071,0.1293,2024-10-01 00:00:00
CUST10011,45.81,HIGH_RISK,0.3642,0.492,0.1831,2024-11-07 00:00:00
CUST10011,37.32,HIGH_RISK,0.4039,0.4713,0.1027,2024-12-14 00:00:00
CUST10011,46.28,HIGH_RISK,0.3776,0.5103,-0.0254,2025-01-20 00:00:00
CUST10011,43.85,HIGH_RISK,0.3997,0.4606,0.072,2025-02-26 00:00:00
CUST10012,16.93,LOW_RISK,0.2443,0.9873,-0.1173,2024-10-01 00:00:00
CUST10012,18.05,LOW_RISK,0.3138,1.0,0.0003,2024-11-16 00:00:00
CUST10012,18.83,LOW_RISK,0.2636,0.9387,0.0424,2025-01-02 00:00:00
CUST10012,22.85,LOW_RISK,0.2949,1.0,-0.0567,2025-02-17 00:00:00
CUST10013,50.46,HIGH_RISK,0.0366,0.7675,0.217,2024-10-01 00:00:00
CUST10013,53.35,HIGH_RISK,0.0749,0.7787,0.2182,2024-11-07 00:00:00
CUST10013,49.72,HIGH_RISK,0.1022,0.7783,0.3385,2024-12-14 00:00:00
CUST10013,49.28,HIGH_RISK,0.0966,0.8351,0.2876,2025-01-20 00:00:00
CUST10013,41.55,HIGH_RISK,0.0654,0.8015,0.2987,2025-02-26 00:00:00
CUST10014,19.9,LOW_RISK,0.1838,0.968,0.0795,2024-10-01 00:00:00
CUST10014,22.23,LOW_RISK,0.1151,0.9733,0.0553,2024-11-01 00:00:00
CUST10014,24.48,LOW_RISK,0.093,0.9991,0.1195,2024-12-02 00:00:00
CUST10014,24.35,LOW_RISK,0.1508,1.0,0.1503,2025-01-02 00:00:00
CUST10014,21.52,LOW_RISK,0.1485,0.9955,0.128,2025-02-02 00:00:00
CUST10014,22.82,LOW_RISK,0.0976,1.0,0.0427,2025-03-05 00:00:00
CUST10015,54.4,HIGH_RISK,0.398,0.7155,0.0245,2024-10-01 00:00:00
CUST10015,55.27,HIGH_RISK,0.3961,0.7132,0.06,2024-11-01 00:00:00
CUST10015,52.23,HIGH_RISK,0.3659,0.6683,0.0381,2024-12-02 00:00:00
CUST10015,51.74,HIGH_RISK,0.3457,0.6791,0.1079,2025-01-02 00:00:00
CUST10015,50.71,HIGH_RISK,0.3824,0.6809,0.131,2025-02-02 00:00:00
CUST10015,59.97,HIGH_RISK,0.3497,0.6452,-0.0002,2025-03-05 00:00:00
CUST10016,36.16,HIGH_RISK,0.3745,0.6525,0.0069,2024-10-01 00:00:00
CUST10016,31.76,HIGH_RISK,0.4135,0.6358,-0.0223,2024-11-07 00:00:00
CUST10016,34.41,HIGH_RISK,0.3392,0.6089,0.0064,2024-12-14 00:00:00
CUST10016,32.94,HIGH_RISK,0.4512,0.6468,0.0282,2025-01-20 00:00:00
CUST10016,36.92,HIGH_RISK,0.3794,0.6297,-0.0091,2025-02-26 00:00:00
CUST10017,61.3,CRITICAL,0.3103,0.8094,0.2415,2024-10-01 00:00:00
CUST10017,57.48,HIGH_RISK,0.3545,0.7906,0.1865,2024-11-01 00:00:00
CUST10017,56.7,HIGH_RISK,0.3922,0.7805,0.1509,2024-12-02 00:00:00
CUST10017,48.54,HIGH_RISK,0.3507,0.7934,0.2473,2025-01-02 00:00:00
CUST10017,51.32,HIGH_RISK,0.3407,0.8211,0.2247,2025-02-02 00:00:00
CUST10017,52.57,HIGH_RISK,0.3465,0.743,0.2071,2025-03-05 00:00:00
CUST10018,71.0,CRITICAL,0.1068,0.8986,-0.0855,2024-10-01 00:00:00
CUST10018,70.73,CRITICAL,0.0537,0.9951,-0.1447,2024-11-01 00:00:00
CUST10018,74.34,CRITICAL,0.0394,0.9253,-0.2688,2024-12-02 00:00:00
CUST10018,77.08,CRITICAL,0.0587,0.9102,-0.1346,2025-01-02 00:00:00
CUST10018,67.96,CRITICAL,0.0497,0.9321,-0.1949,2025-02-02 00:00:00
CUST10018,76.36,CRITICAL,0.1061,0.9342,-0.0819,2025-03-05 00:00:00
CUST10019,91.18,VERY_CRITICAL,0.2445,0.7896,0.4109,2024-10-01 00:00:00
CUST10019,88.23,VERY_CRITICAL,0.2533,0.809,0.3438,2024-11-01 00:00:00
CUST10019,88.28,VERY_CRITICAL,0.1974,0.8682,0.4049,2024-12-02 00:00:00
CUST10019,87.91,VERY_CRITICAL,0.2227,0.7286,0.3598,2025-01-02 00:00:00
CUST10019,85.45,VERY_CRITICAL,0.214,0.7963,0.3897,2025-02-02 00:00:00
CUST10019,87.5,VERY_CRITICAL,0.2369,0.8709,0.3648,2025-03-05 00:00:00
CUST10020,9.75,LOW_RISK,0.4362,0.9621,0.0363,2024-10-01 00:00:00
CUST10020,6.77,LOW_RISK,0.3957,1.0,-0.0347,2024-12-02 00:00:00
CUST10020,1.14,LOW_RISK,0.4243,0.9308,-0.0203,2025-02-02 00:00:00
CUST10021,36.94,HIGH_RISK,0.6912,0.7257,-0.0897,2024-10-01 00:00:00
CUST10021,33.25,HIGH_RISK,0.6767,0.7258,-0.089,2024-11-07 00:00:00
CUST10021,33.65,HIGH_RISK,0.6568,0.6973,-0.1144,2024-12-14 00:00:00
CUST10021,27.93,LOW_RISK,0.7195,0.7174,-0.0902,2025-01-20 00:00:00
CUST10021,42.49,HIGH_RISK,0.7108,0.7295,-0.138,2025-02-26 00:00:00
CUST10022,57.75,HIGH_RISK,0.2018,0.619,-0.0372,2024-10-01 00:00:00
CUST10022,49.36,HIGH_RISK,0.2362,0.6368,0.0292,2024-11-07 00:00:00
CUST10022,46.93,HIGH_RISK,0.2698,0.6133,0.0178,2024-12-14 00:00:00
CUST10022,45.67,HIGH_RISK,0.244,0.5948,0.0963,2025-01-20 00:00:00
CUST10022,53.84,HIGH_RISK,0.1866,0.6315,-0.0152,2025-02-26 00:00:00
CUST10023,64.18,CRITICAL,0.325,0.9442,0.2501,2024-10-01 00:00:00
CUST10023,63.5,CRITICAL,0.3384,0.8759,0.2265,2024-11-07 00:00:00
CUST10023,62.72,CRITICAL,0.3731,0.859,0.1872,2024-12-14 00:00:00
CUST10023,67.17,CRITICAL,0.3967,0.9397,0.2552,2025-01-20 00:00:00
CUST10023,65.93,CRITICAL,0.3579,0.8561,0.2165,2025-02-26 00:00:00
CUST10024,99.0,VERY_CRITICAL,0.3804,0.5083,-0.0446,2024-10-01 00:00:00
CUST10024,94.12,VERY_CRITICAL,0.4074,0.4884,0.0206,2024-11-01 00:00:00
CUST10024,99.0,VERY_CRITICAL,0.4268,0.4495,-0.0503,2024-12-02 00:00:00
CUST10024,99.0,VERY_CRITICAL,0.4099,0.4657,-0.0282,2025-01-02 00:00:00
CUST10024,99.0,VERY_CRITICAL,0.3747,0.5189,-0.0459,2025-02-02 00:00:00
CUST10024,93.5,VERY_CRITICAL,0.4622,0.499,0.0704,2025-03-05 00:00:00
CUST10025,96.24,VERY_CRITICAL,0.1783,0.5061,0.1587,2024-10-01 00:00:00
CUST10025,93.7,VERY_CRITICAL,0.1909,0.5076,0.2086,2024-12-02 00:00:00
CUST10025,96.93,VERY_CRITICAL,0.1946,0.4771,0.2464,2025-02-02 00:00:00
CUST10026,17.95,LOW_RISK,0.0231,0.6151,-0.2823,2024-10-01 00:00:00
CUST10026,19.37,LOW_RISK,0.0118,0.562,-0.3576,2024-11-16 00:00:00
CUST10026,15.0,LOW_RISK,0.0141,0.6017,-0.279,2025-01-02 00:00:00
CUST10026,17.43,LOW_RISK,0.0674,0.6031,-0.2668,2025-02-17 00:00:00
CUST10027,6.94,LOW_RISK,0.0962,1.0,-0.129,2024-10-01 00:00:00
CUST10027,16.59,LOW_RISK,0.0865,1.0,-0.0279,2024-11-16 00:00:00
CUST10027,1.91,LOW_RISK,0.0543,0.9836,-0.1137,2025-01-02 00:00:00
CUST10027,6.64,LOW_RISK,0.078,1.0,-0.0886,2025-02-17 00:00:00
CUST10028,62.43,CRITICAL,0.1394,1.0,0.2518,2024-10-01 00:00:00
CUST10028,59.43,HIGH_RISK,0.1495,0.9401,0.2447,2024-12-02 00:00:00
CUST10028,63.12,CRITICAL,0.1898,1.0,0.2708,2025-02-02 00:00:00
CUST10029,44.12,HIGH_RISK,0.4104,0.7204,0.0699,2024-10-01 00:00:00
CUST10029,53.57,HIGH_RISK,0.3555,0.7485,0.0691,2024-11-16 00:00:00
CUST10029,46.05,HIGH_RISK,0.4077,0.7898,0.0235,2025-01-02 00:00:00
CUST10029,52.46,HIGH_RISK,0.4002,0.7473,0.0838,2025-02-17 00:00:00
CUST10030,63.75,CRITICAL,0.2325,0.6701,-0.0215,2024-10-01 00:00:00
CUST10030,63.26,CRITICAL,0.2387,0.7448,0.0786,2024-12-02 00:00:00
CUST10030,63.09,CRITICAL,0.2024,0.6747,0.0137,2025-02-02 00:00:00
CUST10031,93.57,VERY_CRITICAL,0.7378,0.5123,0.2417,2024-10-01 00:00:00
CUST10031,99.0,VERY_CRITICAL,0.7265,0.5269,0.285,2024-11-01 00:00:00
CUST10031,99.0,VERY_CRITICAL,0.7533,0.5428,0.3115,2024-12-02 00:00:00
CUST10031,94.52,VERY_CRITICAL,0.7234,0.5044,0.1847,2025-01-02 00:00:00
CUST10031,99.0,VERY_CRITICAL,0.7542,0.5247,0.3294,2025-02-02 00:00:00
CUST10031,96.37,VERY_CRITICAL,0.756,0.4839,0.2459,2025-03-05 00:00:00
CUST10032,58.19,HIGH_RISK,0.5299,0.3166,0.0314,2024-10-01 00:00:00
CUST10032,68.1,CRITICAL,0.5925,0.3334,0.0752,2024-12-02 00:00:00
CUST10032,60.35,CRITICAL,0.5365,0.326,0.0995,2025-02-02 00:00:00
CUST10033,19.78,LOW_RISK,0.6856,0.8778,-0.1655,2024-10-01 00:00:00
CUST10033,26.5,LOW_RISK,0.6971,0.9043,-0.1877,2024-11-07 00:00:00
CUST10033,22.5,LOW_RISK,0.698,0.8707,-0.164,2024-12-14 00:00:00
CUST10033,27.41,LOW_RISK,0.6866,0.8844,-0.0788,2025-01-20 00:00:00
CUST10033,16.93,LOW_RISK,0.7118,0.9205,-0.201,2025-02-26 00:00:00
CUST10034,27.86,LOW_RISK,0.0677,1.0,-0.4116,2024-10-01 00:00:00
CUST10034,29.35,LOW_RISK,0.0976,0.985,-0.309,2024-11-01 00:00:00
CUST10034,23.82,LOW_RISK,0.0716,0.9709,-0.2497,2024-12-02 00:00:00
CUST10034,31.26,HIGH_RISK,0.0707,1.0,-0.292,2025-01-02 00:00:00
CUST10034,25.45,LOW_RISK,0.111,0.9719,-0.2901,2025-02-02 00:00:00
CUST10034,22.04,LOW_RISK,0.0768,1.0,-0.3179,2025-03-05 00:00:00
CUST10035,34.5,HIGH_RISK,0.3131,0.9747,0.107,2024-10-01 00:00:00
CUST10035,39.42,HIGH_RISK,0.3471,0.9236,0.1036,2024-11-01 00:00:00
CUST10035,38.16,HIGH_RISK,0.3107,0.9402,0.1335,2024-12-02 00:00:00
CUST10035,40.48,HIGH_RISK,0.4047,0.9324,0.0598,2025-01-02 00:00:00
CUST10035,32.87,HIGH_RISK,0.37,0.9513,0.0853,2025-02-02 00:00:00
CUST10035,33.26,HIGH_RISK,0.3607,0.9479,0.0229,2025-03-05 00:00:00
CUST10036,24.91,LOW_RISK,0.1656,0.6274,0.0335,2024-10-01 00:00:00
CUST10036,29.11,LOW_RISK,0.141,0.5785,-0.0302,2024-11-16 00:00:00
CUST10036,33.94,HIGH_RISK,0.247,0.5939,-0.036,2025-01-02 00:00:00
CUST10036,32.46,HIGH_RISK,0.2375,0.5889,-0.0296,2025-02-17 00:00:00
CUST10037,18.24,LOW_RISK,0.1349,0.666,0.0354,2024-10-01 00:00:00
CUST10037,19.05,LOW_RISK,0.1353,0.6907,0.0144,2024-12-02 00:00:00
CUST10037,24.17,LOW_RISK,0.1294,0.6851,-0.0492,2025-02-02 00:00:00
CUST10038,27.33,LOW_RISK,0.5695,0.8035,-0.0047,2024-10-01 00:00:00
CUST10038,28.01,LOW_RISK,0.5959,0.7612,0.0265,2024-12-02 00:00:00
CUST10038,26.68,LOW_RISK,0.5691,0.7495,0.0174,2025-02-02 00:00:00
CUST10039,39.01,HIGH_RISK,0.3718,0.8998,-0.1159,2024-10-01 00:00:00
CUST10039,37.68,HIGH_RISK,0.3753,0.8645,-0.146,2024-11-07 00:00:00
CUST10039,46.29,HIGH_RISK,0.3985,0.9018,-0.1542,2024-12-14 00:00:00
CUST10039,35.86,HIGH_RISK,0.375,0.8682,-0.0527,2025-01-20 00:00:00
CUST10039,41.81,HIGH_RISK,0.4258,0.8994,-0.1184,2025-02-26 00:00:00
CUST10040,40.42,HIGH_RISK,0.1227,1.0,-0.057,2024-10-01 00:00:00
CUST10040,36.0,HIGH_RISK,0.122,0.9813,-0.0236,2024-11-01 00:00:00
CUST10040,31.17,HIGH_RISK,0.0135,1.0,-0.0319,2024-12-02 00:00:00
CUST10040,35.5,HIGH_RISK,0.0787,1.0,-0.1008,2025-01-02 00:00:00
CUST10040,33.3,HIGH_RISK,0.0867,1.0,-0.0091,2025-02-02 00:00:00
CUST10040,23.21,LOW_RISK,0.0852,0.9873,-0.0623,2025-03-05 00:00:00
CUST10041,95.0,VERY_CRITICAL,0.5522,0.2918,0.1881,2024-10-01 00:00:00
CUST10041,95.72,VERY_CRITICAL,0.5026,0.3958,0.2613,2024-11-16 00:00:00
CUST10041,96.75,VERY_CRITICAL,0.5279,0.359,0.255,2025-01-02 00:00:00
CUST10041,98.54,VERY_CRITICAL,0.5087,0.3162,0.1111,2025-02-17 00:00:00
CUST10042,1.0,LOW_RISK,0.5485,0.3767,-0.2166,2024-10-01 00:00:00
CUST10042,6.93,LOW_RISK,0.4721,0.366,-0.3435,2024-11-01 00:00:00
CUST10042,4.82,LOW_RISK,0.4537,0.414,-0.3008,2024-12-02 00:00:00
CUST10042,7.3,LOW_RISK,0.5298,0.3401,-0.3301,2025-01-02 00:00:00
CUST10042,1.0,LOW_RISK,0.5146,0.4235,-0.2783,2025-02-02 00:00:00
CUST10042,1.0,LOW_RISK,0.4976,0.3689,-0.2557,2025-03-05 00:00:00
CUST10043,53.52,HIGH_RISK,0.8765,0.4277,-0.2133,2024-10-01 00:00:00
CUST10043,47.52,HIGH_RISK,0.8837,0.4809,-0.2603,2024-11-07 00:00:00
CUST10043,46.99,HIGH_RISK,0.8705,0.4849,-0.2361,2024-12-14 00:00:00
CUST10043,40.23,HIGH_RISK,0.937,0.4815,-0.2441,2025-01-20 00:00:00
CUST10043,51.21,HIGH_RISK,0.9106,0.5144,-0.2325,2025-02-26 00:00:00
CUST10044,19.85,LOW_RISK,0.0723,0.8347,0.2802,2024-10-01 00:00:00
CUST10044,19.45,LOW_RISK,0.0758,0.7379,0.2421,2024-11-16 00:00:00
CUST10044,17.61,LOW_RISK,0.0417,0.801,0.2034,2025-01-02 00:00:00
CUST10044,18.13,LOW_RISK,0.0415,0.8341,0.2839,2025-02-17 00:00:00
CUST10045,99.0,VERY_CRITICAL,0.2043,0.5666,0.0236,2024-10-01 00:00:00
CUST10045,99.0,VERY_CRITICAL,0.2333,0.5386,0.0764,2024-11-16 00:00:00
CUST10045,99.0,VERY_CRITICAL,0.2117,0.5962,0.0158,2025-01-02 00:00:00
CUST10045,89.21,VERY_CRITICAL,0.1632,0.5764,-0.0646,2025-02-17 00:00:00
CUST10046,28.04,LOW_RISK,0.2797,0.5951,-0.0539,2024-10-01 00:00:00
CUST10046,36.76,HIGH_RISK,0.2802,0.6075,0.0204,2024-11-16 00:00:00
CUST10046,34.21,HIGH_RISK,0.3295,0.5346,0.0284,2025-01-02 00:00:00
CUST10046,33.49,HIGH_RISK,0.2846,0.5874,0.0636,2025-02-17 00:00:00
CUST10047,99.0,VERY_CRITICAL,0.7891,0.4755,0.0218,2024-10-01 00:00:00
CUST10047,95.0,VERY_CRITICAL,0.8179,0.4539,0.0488,2024-11-01 00:00:00
CUST10047,96.97,VERY_CRITICAL,0.7823,0.4606,0.0572,2024-12-02 00:00:00
CUST10047,99.0,VERY_CRITICAL,0.7514,0.477,0.1366,2025-01-02 00:00:00
CUST10047,99.0,VERY_CRITICAL,0.7417,0.4655,0.0865,2025-02-02 00:00:00
CUST10047,95.23,VERY_CRITICAL,0.8146,0.4694,0.1417,2025-03-05 00:00:00
CUST10048,94.08,VERY_CRITICAL,0.3322,0.402,0.0968,2024-10-01 00:00:00
CUST10048,99.0,VERY_CRITICAL,0.3449,0.3759,0.0207,2024-11-01 00:00:00
CUST10048,99.0,VERY_CRITICAL,0.3616,0.3669,-0.0081,2024-12-02 00:00:00
CUST10048,99.0,VERY_CRITICAL,0.2904,0.4332,0.0393,2025-01-02 00:00:00
CUST10048,99.0,VERY_CRITICAL,0.3242,0.4145,0.0628,2025-02-02 00:00:00
CUST10048,94.89,VERY_CRITICAL,0.3919,0.4128,0.0704,2025-03-05 00:00:00
CUST10049,55.43,HIGH_RISK,0.2997,0.8809,-0.1646,2024-10-01 00:00:00
CUST10049,54.64,HIGH_RISK,0.2827,0.8605,-0.1983,2024-12-02 00:00:00
CUST10049,48.6,HIGH_RISK,0.3456,0.8578,-0.0848,2025-02-02 00:00:00
CUST10050,28.13,LOW_RISK,0.1538,0.9929,0.1343,2024-10-01 00:00:00
CUST10050,24.96,LOW_RISK,0.1195,1.0,0.1783,2024-11-07 00:00:00
CUST10050,27.67,LOW_RISK,0.1578,1.0,0.1617,2024-12-14 00:00:00
CUST10050,27.52,LOW_RISK,0.1269,1.0,0.172,2025-01-20 00:00:00
CUST10050,31.35,HIGH_RISK,0.1172,0.9913,0.2364,2025-02-26 00:00:00
CUST10051,6.91,LOW_RISK,0.0738,0.9732,0.1781,2024-10-01 00:00:00
CUST10051,6.05,LOW_RISK,0.1302,1.0,0.084,2024-11-16 00:00:00
CUST10051,1.24,LOW_RISK,0.1279,1.0,0.1978,2025-01-02 00:00:00
CUST10051,13.9,LOW_RISK,0.0497,1.0,0.1657,2025-02-17 00:00:00
CUST10052,60.31,CRITICAL,0.3124,0.9718,0.1089,2024-10-01 00:00:00
CUST10052,59.64,HIGH_RISK,0.2655,1.0,-0.0159,2024-12-02 00:00:00
CUST10052,55.01,HIGH_RISK,0.3615,0.9415,-0.0208,2025-02-02 00:00:00
CUST10053,49.08,HIGH_RISK,0.2275,0.8895,0.0123,2024-10-01 00:00:00
CUST10053,44.86,HIGH_RISK,0.1947,0.9279,0.0368,2024-11-07 00:00:00
CUST10053,47.04,HIGH_RISK,0.2487,0.9403,0.0432,2024-12-14 00:00:00
CUST10053,47.04,HIGH_RISK,0.194,0.8724,-0.0409,2025-01-20 00:00:00
CUST10053,49.04,HIGH_RISK,0.2127,0.901,-0.011,2025-02-26 00:00:00
CUST10054,52.9,HIGH_RISK,0.4241,0.9848,0.2227,2024-10-01 00:00:00
CUST10054,55.46,HIGH_RISK,0.4359,1.0,0.2207,2024-11-16 00:00:00
CUST10054,54.29,HIGH_RISK,0.4577,1.0,0.1745,2025-01-02 00:00:00
CUST10054,66.15,CRITICAL,0.4722,0.9473,0.1891,2025-02-17 00:00:00
CUST10055,82.28,VERY_CRITICAL,0.3329,0.4587,-0.1366,2024-10-01 00:00:00
CUST10055,83.71,VERY_CRITICAL,0.3567,0.4835,-0.2066,2024-11-16 00:00:00
CUST10055,77.66,CRITICAL,0.3904,0.4857,-0.1612,2025-01-02 00:00:00
CUST10055,84.92,VERY_CRITICAL,0.3734,0.4837,-0.1242,2025-02-17 00:00:00
CUST10056,28.03,LOW_RISK,0.0326,0.5326,-0.1402,2024-10-01 00:00:00
CUST10056,26.87,LOW_RISK,0.0806,0.5152,-0.093,2024-11-07 00:00:00
CUST10056,18.0,LOW_RISK,0.1021,0.4866,-0.1245,2024-12-14 00:00:00
CUST10056,23.16,LOW_RISK,0.1028,0.4786,-0.1788,2025-01-20 00:00:00
CUST10056,28.8,LOW_RISK,0.0337,0.52,-0.0612,2025-02-26 00:00:00
CUST10057,23.48,LOW_RISK,0.2914,0.9958,0.1006,2024-10-01 00:00:00
CUST10057,14.75,LOW_RISK,0.3592,0.949,0.0735,2024-11-01 00:00:00
CUST10057,20.04,LOW_RISK,0.3427,0.9893,0.0085,2024-12-02 00:00:00
CUST10057,13.18,LOW_RISK,0.3546,0.9828,0.069,2025-01-02 00:00:00
CUST10057,8.03,LOW_RISK,0.3249,0.9824,0.0713,2025-02-02 00:00:00
CUST10057,11.9,LOW_RISK,0.3247,0.9688,0.0569,2025-03-05 00:00:00
CUST10058,21.27,LOW_RISK,0.1458,0.9899,0.0085,2024-10-01 00:00:00
CUST10058,17.49,LOW_RISK,0.1025,1.0,0.1059,2024-11-16 00:00:00
CUST10058,27.92,LOW_RISK,0.1435,0.9969,0.0711,2025-01-02 00:00:00
CUST10058,20.59,LOW_RISK,0.156,0.9929,0.0617,2025-02-17 00:00:00
CUST10059,94.08,VERY_CRITICAL,0.3082,0.4861,0.2201,2024-10-01 00:00:00
CUST10059,99.0,VERY_CRITICAL,0.3454,0.513,0.1046,2024-12-02 00:00:00
CUST10059,99.0,VERY_CRITICAL,0.2388,0.5185,0.0938,2025-02-02 00:00:00
CUST10060,52.48,HIGH_RISK,0.5942,0.3828,0.0487,2024-10-01 00:00:00
CUST10060,58.24,HIGH_RISK,0.5395,0.3635,-0.1028,2024-11-16 00:00:00
CUST10060,56.81,HIGH_RISK,0.5214,0.3887,-0.0188,2025-01-02 00:00:00
CUST10060,50.3,HIGH_RISK,0.5427,0.3835,-0.042,2025-02-17 00:00:00
CUST10061,12.66,LOW_RISK,0.5438,0.6499,-0.1809,2024-10-01 00:00:00
CUST10061,11.16,LOW_RISK,0.5098,0.6677,-0.212,2024-11-07 00:00:00
CUST10061,12.38,LOW_RISK,0.4675,0.6467,-0.1692,2024-12-14 00:00:00
CUST10061,17.97,LOW_RISK,0.4668,0.6805,-0.1708,2025-01-20 00:00:00
CUST10061,14.09,LOW_RISK,0.5291,0.6709,-0.2097,2025-02-26 00:00:00
CUST10062,67.01,CRITICAL,0.3302,0.4737,0.4752,2024-10-01 00:00:00
CUST10062,64.61,CRITICAL,0.2989,0.4976,0.4591,2024-11-16 00:00:00
CUST10062,63.71,CRITICAL,0.3075,0.4591,0.457,2025-01-02 00:00:00
CUST10062,68.67,CRITICAL,0.3529,0.4787,0.4613,2025-02-17 00:00:00
CUST10063,66.91,CRITICAL,0.3156,0.4202,0.1409,2024-10-01 00:00:00
CUST10063,62.75,CRITICAL,0.3768,0.4618,0.0721,2024-11-16 00:00:00
CUST10063,58.69,HIGH_RISK,0.321,0.4455,0.0204,2025-01-02 00:00:00
CUST10063,56.86,HIGH_RISK,0.3198,0.4687,0.1353,2025-02-17 00:00:00
CUST10064,12.7,LOW_RISK,0.258,0.8492,0.1311,2024-10-01 00:00:00
CUST10064,13.29,LOW_RISK,0.2454,0.8545,0.1033,2024-11-01 00:00:00
CUST10064,17.44,LOW_RISK,0.2419,0.8066,0.0283,2024-12-02 00:00:00
CUST10064,20.49,LOW_RISK,0.2963,0.8329,0.1395,2025-01-02 00:00:00
CUST10064,13.46,LOW_RISK,0.243,0.8835,0.094,2025-02-02 00:00:00
